DATE,CUSR0000SETD
2009-09-01,244.493
2009-10-01,245.393
2009-11-01,245.511
2009-12-01,245.417
2010-01-01,245.567
2010-02-01,245.969
2010-03-01,246.624
2010-04-01,247.355
2010-05-01,247.311
2010-06-01,247.635
2010-07-01,247.536
2010-08-01,248.390
2010-09-01,249.231
2010-10-01,249.824
2010-11-01,249.872
2010-12-01,250.134
2011-01-01,250.726
2011-02-01,250.851
2011-03-01,250.820
2011-04-01,251.458
2011-05-01,252.376
2011-06-01,252.529
2011-07-01,252.769
2011-08-01,253.337
2011-09-01,255.244
2011-10-01,255.774
2011-11-01,255.663
2011-12-01,255.644
2012-01-01,256.405
2012-02-01,256.968
2012-03-01,256.616
2012-04-01,256.544
2012-05-01,257.372
2012-06-01,257.629
2012-07-01,257.423
2012-08-01,257.641
2012-09-01,258.024
2012-10-01,258.578
2012-11-01,258.943
2012-12-01,258.845
2013-01-01,259.752
2013-02-01,260.234
2013-03-01,260.156
2013-04-01,260.341
2013-05-01,261.065
2013-06-01,261.360
2013-07-01,262.229
2013-08-01,262.497
2013-09-01,262.960
2013-10-01,263.085
2013-11-01,262.934
2013-12-01,263.081
2014-01-01,263.718
2014-02-01,264.523
2014-03-01,264.146
2014-04-01,264.508
2014-05-01,265.013
2014-06-01,265.656
2014-07-01,266.282
2014-08-01,266.129
2014-09-01,267.256
2014-10-01,268.094
2014-11-01,268.389
2014-12-01,268.588
2015-01-01,268.869
2015-02-01,269.136
2015-03-01,268.907
2015-04-01,269.948
2015-05-01,270.764
2015-06-01,270.981
2015-07-01,271.175
2015-08-01,270.838
2015-09-01,271.119
2015-10-01,271.804
2015-11-01,272.090
2015-12-01,272.967
2016-01-01,273.097
2016-02-01,273.072
2016-03-01,273.980
2016-04-01,274.864
2016-05-01,275.331
2016-06-01,275.563
2016-07-01,276.058
2016-08-01,275.923
2016-09-01,275.331
2016-10-01,275.645
2016-11-01,277.348
2016-12-01,278.002
2017-01-01,279.523
2017-02-01,279.782
2017-03-01,279.600
2017-04-01,280.170
2017-05-01,280.388
2017-06-01,279.294
2017-07-01,279.605
2017-08-01,280.488
2017-09-01,282.203
2017-10-01,283.257
2017-11-01,282.502
2017-12-01,283.107
2018-01-01,283.305
2018-02-01,284.032
2018-03-01,283.656
2018-04-01,284.367
2018-05-01,284.851
2018-06-01,285.753
2018-07-01,286.067
2018-08-01,286.931
2018-09-01,288.457
2018-10-01,289.057
2018-11-01,290.114
2018-12-01,289.705
2019-01-01,290.758
2019-02-01,291.993
2019-03-01,294.226
2019-04-01,295.266
2019-05-01,294.586
2019-06-01,295.670
2019-07-01,295.377
2019-08-01,297.884
2019-09-01,298.441
2019-10-01,298.925
2019-11-01,299.260
2019-12-01,299.614
2020-01-01,300.112
2020-02-01,302.220
2020-03-01,304.131
2020-04-01,304.376
2020-05-01,305.574
2020-06-01,305.736
2020-07-01,305.573
2020-08-01,307.554
2020-09-01,308.198
2020-10-01,308.569
2020-11-01,309.949
2020-12-01,309.888
2021-01-01,310.662
2021-02-01,311.627
2021-03-01,314.660
2021-04-01,315.177
2021-05-01,314.164
2021-06-01,315.209
2021-07-01,318.031
2021-08-01,320.504
2021-09-01,320.446
2021-10-01,325.095
2021-11-01,325.076
2021-12-01,324.688
2022-01-01,325.448
2022-02-01,331.130
2022-03-01,329.992
2022-04-01,331.735
2022-05-01,333.258
2022-06-01,340.058
2022-07-01,343.678
2022-08-01,349.539
2022-09-01,356.076
2022-10-01,358.597
2022-11-01,363.195
2022-12-01,366.960
2023-01-01,371.780
2023-02-01,372.572
2023-03-01,373.865
2023-04-01,375.890
2023-05-01,378.182
2023-06-01,383.196
2023-07-01,387.159
2023-08-01,391.395
